Height,Width,Weight,Cost,Transport
26,6,87529,25.57,Roadways
32,22,105447,83.23,Roadways
30,7,12379,68.2,Roadways
10,4,105,12.45,Airways
21,8,7286,84.35,Waterways
23,10,14363,83.97,Roadways
17,16,,57.77,
3,3,14,15.72,Airways
14,6,2297,24.51,
10,,124,14.31,
32,20,52189,57.3,
10,4,184,14.27,Roadways
28,10,12288,44.1,Roadways
21,13,1064738,46.58,
7,4,67,10.27,Airways
6,4,,21.38,Roadways
16,6,193,12.69,Roadways
10,4,333,11.29,Waterways
,15,2059754,33.98,Airways
30,15,48152,89.94,Waterways
11,8,3100,21.76,Roadways
3,2,11,12.93,Airways
21,13,9925,40.77,Airways
21,6,6365,90.84,Roadways
28,9,1850,19.85,Waterways
10,4,61,14.71,Roadways
10,,649,18.59,Waterways
34,14,3159017,59.41,Roadways
39,24,100937,35.22,Roadways
27,10,7435,51.63,Roadways
13,7,1725,20.63,
39,16,,40.83,
,7,119052,48.6,Airways
11,,17758,53.58,Roadways
35,20,723,24.58,Waterways
22,10,285,12.42,Waterways
38,23,4641,14.75,Airways
17,6,3553,21.12,Roadways
24,8,1074,15.09,Roadways
6,5,210,14.32,
21,12,857393,63.14,
,11,973,22.07,Roadways
32,10,44187,56.5,
12,6,309,21.2,Airways
13,7,34249,40.19,Roadways
4,4,39,11.58,Airways
33,11,1845,15.02,Airways
11,7,291,12.65,Airways
29,12,4538,13.47,Roadways
26,15,40745,94.79,
3,,63,21.88,
13,8,685,19.86,Roadways
3,2,,23.83,Airways
20,8,151,21.8,Airways
22,6,2344,12.05,Airways
25,16,1948,14.85,Roadways
9,4,572,13.85,
5,4,25,21.61,Airways
14,7,49,16.41,Waterways
30,9,2837,13.67,Waterways
22,7,207,18.5,Waterways
33,19,4112,18.46,Roadways
46,20,61188,69.14,Airways
11,8,2421,19.3,Airways
37,29,24046,82.43,Airways
32,15,,20.06,
10,5,,44.04,Airways
17,9,149924,59.51,Roadways
13,6,385,13.51,
25,10,11887,75.98,Airways
19,9,201924,52.91,Airways
16,6,2077,15.58,Waterways
15,7,40417,29.98,Airways
14,7,136,23.98,Airways
19,8,198035,88.65,Airways
25,11,904412,97.22,
12,6,218,20.69,Roadways
23,10,1047,14.03,Roadways
,7,451,22.15,Waterways
28,9,11725,32.41,Waterways
24,10,509845,44.82,Airways
24,6,,56.97,
16,7,1038,21.85,Roadways
30,18,20734,72.63,Roadways
27,12,21858,54.93,Waterways
21,,48409,29.94,Roadways
3,2,37,16.7,Airways
8,5,297,18.84,Airways
,12,8880,88.55,Airways
14,7,81092,61.96,
36,9,166789,34.88,
48,21,1364,21.33,Airways
43,18,143981,97.64,Airways
10,,617,19.35,Airways
15,8,937,15.62,Airways
16,,150,21.31,
33,8,380334,90.94,Waterways
34,28,95208,93.88,Airways
3,2,18,13.4,Airways
4,3,15,21.57,Airways
11,7,,18.66,Roadways
3,3,,20.74,
22,9,232346,83.19,
14,8,2470,11.23,Roadways
,20,6277,45.01,Airways
39,29,6213,37.29,Airways
9,,69,20.18,Waterways
,7,331,14.9,
8,4,3101,24.36,Airways
46,17,5308,95.75,Airways
9,4,3597,19.52,Airways
,5,,15.7,Roadways
27,6,1843,23.48,Airways
14,6,16635,71.8,Airways
36,9,2244,15.45,Airways
20,9,325309,75.46,Roadways
22,6,5572,63.54,Airways
21,,486,21.94,Roadways
32,8,291,18.27,Airways
24,12,,26.74,Roadways
3,,4,21.98,Waterways
22,8,437722,49.4,Roadways
23,11,976,15.14,Roadways
4,3,17,13.85,Roadways
30,7,9646,77.29,Airways
24,8,14644,90.24,
7,4,2780,15.01,
18,7,46000,33.53,Airways
16,6,,20.91,
20,6,89996,75.17,
24,7,259187,55.73,Roadways
35,22,15388,49.41,Roadways
25,13,,66.56,Waterways
4,4,20,23.83,Roadways
38,14,7446,95.8,Airways
21,15,35211,97.65,Airways
34,17,778,22.48,Roadways
22,16,15938,62.96,Airways
14,6,,22.61,
27,,514,23.99,Roadways
3,2,23,23.36,Waterways
4,3,42,14.37,Roadways
14,7,35353,50.6,Roadways
59,20,179476,91.87,Roadways
29,10,31526,72.73,Roadways
25,7,1654,12.04,Waterways
13,6,,14.13,
23,10,499,24.03,
25,6,193583,85.9,Waterways
12,6,57899,78.05,
26,6,112686,86.02,
9,4,186,15.8,Airways
32,14,777735,28.53,Roadways
22,7,6166,75.13,
32,14,974,21.13,Roadways
3,2,5,12.7,Roadways
12,8,663,14.5,
15,6,554,23.44,Airways
13,6,49743,81.2,Airways
,,478967,97.39,Roadways
3,2,68,15.72,Airways
35,12,13366,26.24,Airways
33,11,1564,13.03,Airways
16,6,467,24.58,Airways
,9,,11.04,Roadways
33,13,476,14.37,Airways
38,7,220,20.79,Airways
22,8,247,20.68,Airways
30,15,2126,15.02,Roadways
27,12,4343,22.12,Airways
35,,1994,19.83,
3,2,,16.45,Airways
11,6,1425,10.54,Roadways
36,12,46633,88.4,Roadways
24,11,2013,21.33,Roadways
21,9,,16.4,Airways
18,9,4083,23.69,Roadways
,,130,24.82,Airways
38,28,7048,95.97,Airways
26,8,,86.81,
19,13,266655,61.35,
24,9,413,23.02,Roadways
36,12,,69.88,Airways
28,16,666,16.2,Airways
31,18,988,24.65,Airways
39,20,1129,18.3,Airways
31,7,5608,69.51,
23,10,893,12.06,Airways
25,11,789868,35.03,
37,21,3665414,40.09,
15,,457,15.88,Roadways
,12,1473,10.33,Roadways
,18,,32.8,Airways
4,3,410,15.71,Roadways
32,13,2655,22.77,
,6,3980,10.82,Waterways
18,16,988995,49.23,Airways
10,5,935,19.96,Roadways
26,14,22516,94.48,
28,19,3751,19.67,Waterways
19,7,202,11.5,
,15,195,11.96,Waterways
32,,382523,87.64,Airways
3,,91,13.68,
4,4,56,23.85,Airways
29,19,100412,50.44,Waterways
24,9,557707,92.94,
9,,5473,71.58,
11,,79,11.38,Airways
21,8,,15,Airways
,15,1859,18.44,Airways
11,7,176,10.91,Airways
36,21,2964731,40.25,Airways
27,8,1480,10.5,
35,16,5016,86.67,Airways
33,10,2079,22.75,Airways
21,12,603939,95.94,Airways
19,9,6398,35.06,Waterways
46,9,,92.4,
27,10,1508,16.86,Airways
5,3,33,22.93,Roadways
25,6,5935,76.74,Roadways
20,8,4876,20.24,Waterways
28,16,836,17.16,Waterways
25,10,9820,25.4,Airways
5,4,68,15.24,Roadways
13,7,867,22.93,Waterways
38,25,11170102,57.19,Roadways
3,3,39,19.03,Waterways
17,6,716,18.08,Waterways
11,8,4388,19.35,Roadways
30,18,3099,14.97,
35,19,,53.65,Airways
26,12,171678,53.23,
21,7,73339,42.43,Waterways
13,8,33792,67.7,Roadways
16,6,103,10.08,Airways
22,,32708,53.99,Waterways
35,14,1225,24.83,
29,15,24972,36.41,Airways
3,3,204,24.56,
33,7,9320,98.19,Waterways
32,14,2242840,42.29,Roadways
25,13,20077,69.1,Roadways
34,14,,48.14,
9,4,2438,20.78,Airways
19,10,10219,27.71,Airways
35,25,15292,80.08,
16,,633,16.79,Waterways
37,19,3786,23.43,Airways
44,16,13813,26.62,Airways
14,8,280,13.69,
48,30,364461,38.89,Airways
7,5,198,10.76,Waterways
32,11,4866,18.4,Roadways
24,11,437,23.93,
32,17,750,10.59,Roadways
29,13,17479,28.4,Roadways
17,7,4892,15.6,Roadways
27,8,455,11.58,Roadways
40,11,885511,44.96,Roadways
33,9,489,12.37,Waterways
4,4,19,21.23,
24,,184235,60,Roadways
42,9,1475,21.51,
28,11,5325,77.11,Roadways
22,6,,20.64,Roadways
24,15,847736,93.49,Waterways
47,15,924,11.39,
18,9,779,23.74,Waterways
12,6,178,14.12,Airways
22,10,85245,48.97,Airways
9,4,2403,19.93,Roadways
13,6,21903,70.58,Roadways
7,4,2343,21.32,
17,7,107,13.72,Airways
35,18,1575046,34.82,
14,,95078,78.58,
38,15,,43.74,
13,7,106,20.18,Roadways
13,8,30542,48.15,Waterways
23,13,480,17.53,Roadways
30,9,12594,63.9,
36,,,17.44,
3,3,147,13.13,Waterways
28,12,510348,62.37,Roadways
7,4,1483,17.95,Roadways
22,11,1001,21.59,Roadways
40,,7695,89.36,Roadways
17,8,566,20.75,Roadways
15,6,540,12.5,Waterways
3,3,27,16.42,
23,14,,82.94,Airways
37,,3084226,96.36,Roadways
48,14,594,12.94,Roadways
5,5,2287,20.35,Airways
36,12,10995,27.94,Waterways
,6,1132,20.15,Roadways
16,8,210,18.57,Airways
,11,335,20.9,Airways
11,7,232,21.51,
23,12,,23.66,
23,9,20813,63.63,
46,16,1619,12.78,Roadways
,10,220,18.93,Waterways
20,,5915,91.25,
6,5,131,16.97,
12,7,648,18.67,
24,7,562,22.95,
22,6,596,19.38,Waterways
10,5,9745,73.82,Waterways
27,7,,16.22,
5,3,,10.39,Roadways
41,15,870,23.89,
15,7,2524,14.1,Roadways
18,11,269003,29.88,
,,1556,20.3,Airways
32,10,29574,70.32,Waterways
17,8,,21.43,Roadways
26,7,318,16.34,Airways
8,5,8365,72.34,Waterways
17,6,,23.82,Airways
,9,7079,74.07,
18,10,581,22.93,Roadways
15,7,1637,13.54,Roadways
33,17,4174934,37.93,Airways
35,14,2946,24.33,Roadways
8,5,12273,99.56,Roadways
21,8,527,10.37,Roadways
29,8,281556,70.61,Airways
35,15,71622,81.76,
14,,1958,18.74,
21,9,546631,73.25,
14,8,6055,70.58,Waterways
17,6,1290,12.57,
36,18,750,15.72,Roadways
20,7,3459,13.62,
30,6,377,24.32,Airways
12,8,174,19.44,
34,9,12710,91.87,
35,13,31375,73.47,Roadways
38,9,2006,15.45,Airways
28,10,17479,37.59,Waterways
31,12,2026667,28.94,Waterways
13,7,141,19.48,
13,6,2069,19.28,Roadways
10,,1027,14.3,Roadways
14,8,118734,95.59,Airways
8,4,466,15.93,Airways
21,6,112,20.06,Roadways
12,7,107,14.05,Waterways
11,7,242,17.74,Waterways
32,21,9288173,89.88,Airways
57,30,9667,30.32,
46,18,41940,96.13,Airways
33,15,1126,19.06,Roadways
46,36,213585,63.91,Roadways
36,10,9586,50.48,
25,8,17846,81.57,
5,5,168,14.19,Waterways
20,12,,80.51,Roadways
6,5,165,13.47,Roadways
17,13,460,12.05,
26,11,461,20.13,Waterways
15,8,1602,15.26,Roadways
24,8,283,21.75,Airways
11,8,30937,33.38,
15,,2686,11.61,Waterways
52,35,39824,94.59,Roadways
40,25,5480,93.6,Airways
17,8,1226,15.94,
42,12,1098,13.06,Waterways
44,22,12602,61.45,Waterways
29,14,712,18.39,Airways
11,8,4372,24.22,Airways
51,16,3480167,72.14,Roadways
10,5,346,10.18,
24,7,302,23.11,
47,10,,14.23,Roadways
27,11,3360,23.78,Roadways
,17,35881,29.69,Roadways
30,10,18433,28.37,
14,7,,20.05,
29,19,1443782,94.47,Roadways
19,6,1391,11.31,
15,8,202,20.16,Waterways
8,,681,10.15,
29,,,19.09,Roadways
16,6,604,23.06,
28,12,2356,15.06,Roadways
9,4,106,14.08,
19,9,5455,48.42,Roadways
13,7,,13.74,
,15,2044,22.7,
29,11,18147,57.21,Roadways
40,22,1269,22.31,Roadways
27,9,1042,16.08,Roadways
15,7,55539,41.25,Roadways
8,4,3360,14.51,Airways
3,2,144,14.67,Airways
21,11,,17.74,Roadways
38,13,3480,10.39,Roadways
41,17,85784,54.25,Airways
20,7,6049,79.53,
20,,,78.01,
16,8,6865,34.34,Waterways
21,10,202624,48.7,Roadways
5,5,152,19.84,Roadways
8,5,1063,10.04,
,8,354,22.53,Waterways
28,13,,36.04,Roadways
9,5,254,21.95,Airways
14,8,1653,10.11,Waterways
12,8,517,24.02,Airways
27,12,3623,10.68,Roadways
11,7,3040,21.07,
17,8,5372,47.44,Roadways
20,14,2160,14.4,Waterways
20,12,20118,45.78,Airways
34,11,1867,18.5,Airways
8,4,6256,93.91,Roadways
10,5,268,15.11,Airways
13,7,27003,61.54,Roadways
12,6,3592,21.06,Airways
30,13,1011795,94.2,Roadways
37,16,29913,83.6,Airways
18,8,52982,39.67,Airways
8,5,12281,50.39,Waterways
24,10,13884,91.24,Waterways
28,9,1317,14.57,Airways
42,14,2885,22.19,Roadways
,8,393,22.18,Waterways
,10,966,14.74,Roadways
39,,11141,69.27,Airways
6,5,1791,19.92,Roadways
15,6,947,13.19,Roadways
41,,7743522,95.76,Roadways
30,12,681980,38.52,Roadways
11,8,743,21.86,
27,18,4784038,38.26,
51,23,13736,47.93,Waterways
23,10,172170,99.42,
52,12,1069,11.05,Airways
15,8,5263,98.69,Airways
31,,223028,32.8,Airways
16,7,638,22.39,
20,12,823,15.27,Roadways
30,10,10804,41.76,Airways
18,9,60774,77.3,Airways
3,2,50,24.61,Airways
19,7,3077,10.03,
26,6,78,11.41,Roadways
13,8,329,13.92,Roadways
16,7,62382,38.14,Waterways
9,5,124,22.5,Airways
19,8,242,15.58,Roadways
4,3,53,24.19,Airways
18,6,1041,17.46,
15,8,163313,26.28,Airways
12,6,14340,38.94,Roadways
3,,,13.55,Airways
44,,36540,74.38,
8,4,190,16.02,Airways
,,2257,14.26,Roadways
9,5,7430,75.69,Waterways
17,8,160,12.24,Roadways
38,18,2590,21.99,Roadways
11,6,595,16.4,Airways
16,7,1050,22.14,Roadways
30,14,796,15.62,Waterways
5,5,32,14.15,Waterways
4,3,16,24.36,Airways
16,7,661,21.05,Airways
38,15,4428890,84.85,Roadways
30,7,256,23.36,Waterways
8,5,371,12.71,Roadways
37,25,18931,26.84,Waterways
35,12,34967,36.72,Roadways
27,15,606,13.9,Roadways
5,5,3422,24.43,
12,6,1758,22.75,Waterways
17,8,3554,22.43,Roadways
18,16,4112,21.96,
13,,58890,56.58,Waterways
14,6,201,14,
17,7,47605,25.11,Roadways
26,17,1041420,98.88,Waterways
22,11,605,21.29,Roadways
7,5,30,20.69,Waterways
23,7,,11.69,Roadways
25,10,2302,14.62,Airways
14,8,476,11.53,Waterways
29,12,1862,13.99,Roadways
,3,859,15.61,Waterways
28,15,2547,20.34,Roadways
21,,454991,63.51,Airways
24,10,11382,99.47,Roadways
7,4,46,22.18,Airways
29,9,12828,67.82,Airways
35,15,1804,16.52,Airways
34,15,2133251,77.15,Roadways
24,14,2380,20.59,Waterways
18,13,247284,50.73,
9,4,390,23.98,Waterways
28,13,1373,13.35,
10,4,4228,19.54,
29,11,265302,28.49,Airways
10,5,24576,46.45,Roadways
37,14,1402754,32.41,Airways
7,4,,10,
29,8,250,23.25,Airways
7,4,1894,14.5,Airways
33,23,9615,41.4,Airways
23,9,302,21.46,Waterways
20,8,303659,92.73,Roadways
21,16,4689,15.65,
9,5,1213,24.67,Airways
31,11,589,23.41,Waterways
25,7,960,23.19,Roadways
47,,23783,91.34,Waterways
32,13,5159,68.16,Roadways
10,5,380,16.73,Roadways
,3,84,22.19,
22,,1297,20.2,Waterways
18,16,251955,60.43,Roadways
43,15,3412,17.44,Roadways
23,6,157231,76.68,
31,,337252,28.36,
3,2,36,15.86,Roadways
10,4,443,16.98,Waterways
6,5,1455,14.42,Roadways
6,,69,15.15,Waterways
13,,4005,17.41,
19,7,155,19.07,Roadways
49,13,5189972,75.88,Airways
35,9,17630,27.11,Roadways
21,15,25814,93.33,
35,7,153496,52.3,Airways
22,6,876,13.77,Waterways
22,10,295,13.51,Roadways
,4,1367,24.14,Roadways
44,23,17101644,26.91,
19,7,3812,23.96,Airways
41,17,4709,10.46,
9,5,973,13.46,Airways
13,7,2233,14.28,
18,13,1475,14.63,Waterways
20,6,736,14.6,Airways
48,,8478,97.88,Roadways
14,8,3632,14.87,Airways
24,6,72837,33,Roadways
9,4,18,16.45,
8,4,140,23.2,Roadways
29,16,44236,96.36,Roadways
,,32,20.69,Airways
5,,140,11.08,
12,7,23563,53.98,Roadways
8,5,14444,64.33,
31,16,61330,53.06,Roadways
20,,,79.34,Airways
18,,828,22.39,Airways
,,428,21.63,Roadways
11,8,181,12.93,Airways
32,13,51068,33.84,Airways
31,8,,21.13,Roadways
17,7,168042,54.81,Airways
32,10,363,16.36,
34,9,31146,68.52,Airways
6,4,73,14.35,Airways
,5,48,12.59,
44,11,645,10.86,Waterways
,23,7878463,73.63,
46,9,27614,90.69,Waterways
18,9,168774,28.95,Roadways
11,,2129,11.91,
29,,1890,24.4,
22,7,184,10.65,
25,12,,52.27,Waterways
12,7,3594,16.25,Roadways
30,8,1376,20.84,Airways
3,2,20,15.93,Airways
16,7,5152,30.79,Waterways
12,6,376,21.77,Roadways
42,8,22506,75.42,
29,10,1515,17.43,Roadways
30,12,23105,46.57,Roadways
30,14,,20.91,Waterways
7,5,408,18.77,
6,4,66,10.2,
22,6,6266,94.56,Roadways
23,6,470,20.57,Airways
7,5,3099,22.01,
19,10,2857,22.81,Airways
10,,84,17.97,Roadways
,,4618,17.45,Roadways
23,12,26656,26.09,Airways
5,4,52,10.2,
15,6,963,16.66,
42,12,8532,48.97,Airways
12,6,591,18.52,Waterways
20,10,9375,49.47,Airways
6,5,52,12.49,
45,17,3907,13.29,Waterways
7,4,1423,17.05,Waterways
28,9,973,12.97,Waterways
35,,25975,92.82,Roadways
22,9,169659,33.15,
24,6,972,23.97,
38,8,12155,76.8,
13,7,10206,43.07,
19,6,1234,13.69,Airways
17,6,2166,11.4,Waterways
47,17,,76.31,Roadways
32,10,353672,28.59,Airways
16,8,3451,17.77,
19,8,80935,84.07,Roadways
9,4,80,18.87,
35,12,8481,55.72,Airways
3,2,16,18.56,Airways
,9,420,18.26,Waterways
32,,58598,85.19,
,8,15436,49.07,Airways
53,27,16672,45.92,Airways
,5,5594,41.28,
19,9,185627,63.24,Airways
16,7,,57.75,Roadways
4,3,382,18.52,Waterways
10,5,473,15.75,Airways
9,4,277,18.05,Airways
14,8,50483,80.12,Waterways
31,11,22502,74.66,Airways
30,16,49321,36.43,
25,21,1739435,52.72,Roadways
8,4,,18.12,Roadways
19,8,108740,82.41,Roadways
51,15,,13.82,Airways
18,14,3518,20.76,Airways
17,8,7833,43.84,Airways
15,7,1230,12.09,Roadways
14,8,86151,98.05,
15,8,90,24.75,Roadways
46,12,6184,25.69,Airways
19,6,1262,14.94,Roadways
25,15,2342,10.71,Airways
7,,623,14.6,Roadways
18,6,123572,73.95,Airways
24,14,1400823,75.89,Roadways
29,10,644,17.83,Airways
11,,408,10.73,Roadways
47,19,172218,97.06,
14,8,4760,20.86,
3,2,79,17.19,Waterways
25,9,1852,14.83,
22,9,435,24.12,
13,,1052,16.45,Waterways
4,4,109,23.51,
8,,,18.3,Airways
6,4,520,21.17,Waterways
14,8,2097,18.16,Waterways
15,7,33146,48.05,Roadways
44,14,2916,15.37,Waterways
19,,,15.08,
11,7,35050,50.03,Roadways
46,27,7383,53.98,Airways
39,,2282724,34.95,Airways
22,9,4578,16.64,Roadways
12,6,1864,11.23,Roadways
12,8,3893,23.35,Roadways
27,13,877,10.42,Waterways
8,5,683,20.03,Airways
23,11,2560,10.39,
23,6,311,19.65,
33,19,1370,22.31,Airways
19,8,,11.77,
11,8,24170,75.36,Airways
7,4,99,10.75,Roadways
,8,,17.1,Airways
29,15,2492,13.86,Airways
5,4,25,22.12,Airways
27,12,390819,76.06,Roadways
7,5,90,19.59,Roadways
17,,656,14.34,
28,8,9488,57.88,Airways
,20,1054,10.68,Waterways
14,6,2462,21.47,
40,12,2806,21.92,Waterways
42,11,742,22.89,Airways
14,8,140,10.7,
3,3,157,19.46,
24,8,,21.83,Roadways
13,8,2298,13.22,Waterways
39,14,3614,14.89,Waterways
,13,,29.59,
32,8,13314,31.64,Airways
,10,12528,79.51,Waterways
52,26,281213,89.65,Airways
12,8,2883,20.64,Roadways
27,13,483,24.98,
44,10,66080,52.84,Airways
32,14,352,11.48,Waterways
21,6,4008,17.23,Waterways
5,3,1147,11.08,Waterways
21,9,8946,86.22,Waterways
17,11,175973,70.28,Airways
22,13,562649,66.5,Roadways
28,13,,43.91,
8,5,50,21.95,Roadways
16,7,59427,85.06,
10,4,185,18.13,Waterways
8,4,88,17.56,Airways
21,12,281820,30.32,Roadways
29,17,1209,13.31,Roadways
19,6,65711,61.14,Airways
21,12,18618,83.74,Roadways
9,4,41,16.75,
20,10,436,11.03,Roadways
38,18,342,11.03,Roadways
6,4,767,15.02,Roadways
46,20,9448,58.97,Roadways
38,16,2272743,97.84,Roadways
7,5,452,21.71,Waterways
17,11,278914,35.42,Roadways
5,5,1960,20.47,Roadways
17,6,553,11.71,Roadways
13,7,4192,14.85,Waterways
10,,11267,36.96,
25,14,335,10.47,Roadways
15,7,223,11.24,Waterways
20,12,155174,39.56,Airways
11,8,39491,45.83,Airways
23,8,,59.96,Airways
10,,583,23.79,Roadways
36,26,,83.01,
10,5,6379,98.02,
21,,,58.43,Roadways
41,19,1740453,85.05,Airways
3,2,36,21.96,Roadways
39,8,22702,77.44,Airways
23,13,36927,63.39,Roadways
16,7,61395,78.03,Airways
23,11,10751,38.54,Waterways
26,12,7944,26.88,
19,,1109,12.18,Roadways
6,4,97,22.15,
29,13,4841,10.92,Waterways
10,4,121,13.65,Roadways
27,17,2398705,73.87,
16,8,233,14.46,Airways
7,4,,19.72,Waterways
12,6,667,12.1,Roadways
13,7,970,17.93,
4,4,71,21.01,Roadways
31,14,1151070,51.9,Airways
11,8,220,19.21,
57,29,442352,80.73,
26,,483831,76.18,Waterways
14,8,4022,16.17,Roadways
27,8,295315,98.72,Roadways
19,7,1479,23.21,Roadways
29,12,2311,17.94,Airways
26,10,815778,58.91,Airways
32,12,795998,64.76,Airways
30,12,1380484,46.11,Airways
51,8,768,13.94,Roadways
15,6,493,10.07,Waterways
17,9,,16.51,Roadways
,21,25254560,91.48,Roadways
26,7,818,13.25,Roadways
4,4,570,12.05,Waterways
42,12,8154,94.67,Roadways
7,4,327,22.23,Roadways
19,6,83,12.13,
34,,1756625,41.82,Waterways
13,8,122,16.39,Waterways
,6,2003,11.78,Roadways
31,,25879,62.56,
10,4,396,14.43,Airways
9,4,369,13.01,Airways
8,4,476,13.76,Waterways
,6,,18.26,Airways
,8,2723,10.82,
60,20,55775,94.62,
7,5,,23.57,
3,2,166,18.15,Airways
6,5,141,19.73,Airways
9,,6696,59.08,
20,10,380,18.32,Roadways
30,7,255,19.43,Airways
16,8,150,12.56,
18,8,4126,19.22,Waterways
40,,,75,
12,6,149,13.55,Roadways
18,11,6955,35.13,
16,8,179449,84.97,Waterways
21,9,482125,75.2,
30,8,655,22.93,
30,12,,48.72,Roadways
47,18,124428,78.83,Waterways
24,6,2674,10.68,Airways
17,6,157,20.92,Airways
26,19,683,10.72,Airways
27,16,1110009,88.12,Roadways
32,18,57618,74.83,Airways
13,8,227,14.43,Roadways
5,3,61,18.72,Roadways
,,16,18.75,
25,8,1726,20.76,Roadways
40,25,19453774,87.93,Airways
37,14,36327,28.63,Airways
33,12,35914,87.64,Roadways
40,30,10431,35.24,Airways
20,7,5480,76.74,Roadways
,8,166745,74.89,Airways
36,17,51970,48.71,Roadways
11,7,1722,15.63,Airways
11,7,80,16.24,Airways
39,14,50723,98.77,Airways
24,9,318,12.01,Waterways
12,8,,27.94,
47,12,5451882,94.17,Waterways
37,13,4462,12.95,Roadways
58,,427,10.66,
10,,54,12.77,Airways
14,8,451,13.99,Airways
36,17,5177308,82.25,Roadways
42,24,50787,44.84,Airways
17,7,179,20.3,Waterways
15,6,3347,19.33,Waterways
37,8,30180,99.91,Airways
28,,666,24.26,Waterways
30,15,2218,15.54,Airways
45,18,100296,27.15,Waterways
39,11,3016,23.53,Waterways
31,18,3148,12.46,Airways
41,,850,14.42,
4,4,671,18.17,Roadways
30,10,1007887,99.26,Airways
13,8,52,20.08,Roadways
10,,11888,40.28,Waterways
13,7,91176,79.91,Waterways
39,,3869,16.6,Roadways
15,6,3357,10.91,Airways
16,8,,59.43,Airways
28,16,27680,65.31,Airways
14,6,509,13.91,Roadways
22,6,82,14.77,Roadways
15,6,620,16.88,
29,8,6441,60.56,Waterways
12,7,63792,77.62,Roadways
22,7,98104,82.11,Roadways
,9,1378586,95.02,Roadways
19,12,202903,79.91,Airways
37,15,3513025,71.59,Roadways
45,20,135200,44.18,Waterways
4,4,73,23.54,Roadways
41,20,20583,75.09,Airways
9,5,519,24.06,Roadways
15,6,1154,23.85,Roadways
4,3,129,18.3,Roadways
20,9,4137,21.93,Waterways
35,18,55795,33.83,Airways
19,12,371,11.3,Roadways
25,12,768367,80.01,Airways
56,27,271922,89.24,Roadways
18,7,291,24.08,Airways
25,,5385,93.05,Waterways
6,4,340,24.72,Airways
27,7,1851,23.98,Airways
31,22,8691641,67.18,
40,19,77407,75.09,Roadways
45,,12025261,69.99,Waterways
43,20,17182,25.39,
14,6,74438,53.53,Airways
18,10,1071,12.76,Airways
55,24,1018,17.46,Waterways
13,,1792,11.41,
20,,154,14.25,Airways
11,,1338,11.16,
31,18,44303,96.06,Airways
9,4,333,12.85,Airways
17,8,221082,27.32,Roadways
18,7,65283,95.27,Roadways
14,7,80676,99.64,Roadways
6,5,,18.3,Roadways
10,4,745,22.03,Waterways
,5,11122,86.37,Roadways
46,22,119344,96.81,Waterways
8,4,4127,21.58,Waterways
21,7,8343,85.84,Airways
5,,239,23.29,
20,8,937,16.6,Roadways
10,5,12943,64.97,Roadways
28,8,294921,52.01,Roadways
20,9,154740,92.66,
6,,30,11.32,Roadways
9,4,329,24.31,Waterways
45,,18432,47.01,
5,,1410,10.53,
21,13,6925,67.78,Roadways
26,8,152305,50.31,Roadways
27,12,514,10.25,Roadways
24,11,19745,94.09,Roadways
42,10,692,24.42,Airways
38,22,143434,71.34,
12,7,11887,34.87,Waterways
26,14,,50.91,Waterways
10,4,62,12.18,Airways
22,12,1220,14.17,Airways
18,11,66721,30.27,Roadways
12,,45103,30.71,Waterways
3,3,44,14.02,Roadways
38,25,58652,47.75,Waterways
12,6,279,16.72,Roadways
20,9,2047,15.34,
36,9,15589,27.56,Airways
27,11,137731,83.08,Airways
12,7,3918,16.7,Waterways
13,6,390,17.98,Waterways
21,6,127553,69.17,Roadways
21,16,1426,19.09,Waterways
7,4,2655,10.03,Roadways
14,8,427,23.63,Roadways
10,4,231,19.44,Airways
28,17,1095960,44.06,Waterways
26,19,2564,24.32,Waterways
21,14,7310,39.3,Roadways
,15,,40.42,Roadways
29,18,22618,65.09,Roadways
35,,73360,44.91,Roadways
22,8,1048,23.91,Roadways
,11,4550,15.99,
7,5,17,19.67,Airways
13,6,299,15.3,Roadways
26,10,,87.88,Roadways
42,,1011,15.08,Airways
33,11,1254713,48.92,Roadways
31,8,1624,19.52,
28,11,2284,10.62,Roadways
24,11,1275,22.42,Roadways
5,4,29,18.46,Airways
3,2,8,21.04,Roadways
16,7,541,20.1,Airways
20,8,230254,62.85,Roadways
15,6,,19.75,Roadways
33,24,4571789,45.24,Roadways
31,8,903700,74.6,Roadways
21,11,103040,53.25,Roadways
48,13,2065,24.31,Roadways
15,8,7239,86.26,Airways
25,14,21020,51.83,Waterways
41,25,5773155,98.32,Airways
15,7,2554,19.37,Waterways
,,1046,11.89,
24,14,513,24.59,Roadways
9,5,54,11.03,
41,12,75499,91.4,Roadways
51,15,140501,87.56,Airways
51,20,6833,66.88,
8,5,167,17.65,
34,13,674,17.84,
18,7,597,23.23,Airways
,2,12,13,Waterways
29,9,440,22.32,Roadways
9,5,240,14.27,Waterways
19,6,30510,62.66,Roadways
6,5,423,14.3,Waterways
13,6,2682,20.76,Airways
42,8,23736,75.05,
48,,200841,68.3,Waterways
33,19,120846,82.15,Roadways
45,,22094065,33.64,
23,7,8830,72.33,Airways
24,,74595,80.62,Airways
37,19,5790,25.22,Waterways
19,11,734,22.17,
13,7,30563,84.93,Waterways
38,22,177079,69.69,
28,9,2320,13.87,
12,7,2662,19.9,Roadways
11,6,13393,45.47,Airways
27,17,39133,26.57,Waterways
48,27,150265,73.97,Waterways
30,8,13701,39.44,Airways
